,WOE_ID,ISO,Name,Language,PlaceType,Parent_ID
3373774,56190241,UG,Burahya,ENG,County,20070419
3373775,56190242,UG,Fort Portal,ENG,County,20070419
3373776,56190243,UG,Buhweju,ENG,County,20070414
3373777,56190244,UG,Bunyaruguru,ENG,County,20070414
3373778,56190245,UG,Igara,ENG,County,20070414
3373779,56190246,UG,Ruhinda,ENG,County,20070414
3373780,56190247,UG,Sheema,ENG,County,20070414
3373781,56190248,UG,Samia-Bugwe,ENG,County,20070454
3373782,56190249,UG,Kongasis,ENG,County,56190202
3373783,56190250,UG,Dokolo,ENG,County,56190203
3373784,56190251,UG,Aswa,ENG,County,20070415
3373785,56190252,UG,Gulu,ENG,County,20070415
3373786,56190253,UG,Omoro,ENG,County,20070415
3373787,56190254,UG,Bugahya,ENG,County,20070416
3373788,56190255,UG,Buhaguzi,ENG,County,20070416
3373789,56190256,UG,Ibanda,ENG,County,56190204
3373790,56190257,UG,Bugweri,ENG,County,20070449
3373791,56190258,UG,Kigulu,ENG,County,20070449
3373792,56190259,UG,Luuka,ENG,County,20070449
3373793,56190260,UG,Butembe,ENG,County,20070417
3373794,56190261,UG,Jinja,ENG,County,20070417
3373795,56190262,UG,Kagoma,ENG,County,20070417
3373796,56190263,UG,Kabale,ENG,County,20070418
3373797,56190264,UG,Ndorwa,ENG,County,20070418
3373798,56190265,UG,Rubanda,ENG,County,20070418
3373799,56190266,UG,Rukiga,ENG,County,20070418
3373800,56190267,UG,Kaberamaido,ENG,County,24550743
3373801,56190268,UG,Kalaki,ENG,County,24550743
3373802,56190269,UG,Kibaale,ENG,County,24550735
3373803,56190270,UG,Kitagwenda,ENG,County,24550735
3373804,56190271,UG,Jie,ENG,County,20070429
3373805,56190272,UG,Kiboga,ENG,County,20070426
3373806,56190273,UG,Kazo,ENG,County,56190205
3373807,56190274,UG,Nyabushozi,ENG,County,56190205
3373808,56190275,UG,Bugangaizi,ENG,County,20070425
3373809,56190276,UG,Buyaga,ENG,County,20070425
3373810,56190277,UG,Kyaka,ENG,County,24550734
3373811,56190278,UG,Mwenge,ENG,County,24550734
3373812,56190279,UG,Usuk,ENG,County,20070446
3373813,56190280,UG,Kampala,ENG,County,20070421
3373814,56190281,UG,Bujumba,ENG,County,20070420
3373815,56190282,UG,Kyamuswa,ENG,County,20070420
3373816,56190283,UG,Kween,ENG,County,20070423
3373817,56190284,UG,Tingey,ENG,County,20070423
3373818,56190285,UG,Kilak,ENG,County,56190206
3373819,56190286,UG,Nwoya,ENG,County,56190206
3373820,56190287,UG,Bufumbira,ENG,County,20070427
3373821,56190288,UG,Bukonjo,ENG,County,20070424
3373822,56190289,UG,Busongora,ENG,County,20070424
3373823,56190290,UG,Kumi,ENG,County,20070430
3373824,56190291,UG,Ngora,ENG,County,20070430
3373825,56190292,UG,Budiope,ENG,County,20070422
3373826,56190293,UG,Bugabula,ENG,County,20070422
3373827,56190294,UG,Buzaaya,ENG,County,20070422
3373828,56190295,UG,Bbaale,ENG,County,24550742
3373829,56190296,UG,Ntenjeru,ENG,County,24550742
3373830,56190297,UG,Erute,ENG,County,20070431
3373831,56190298,UG,Lira,ENG,County,20070431
3373832,56190299,UG,Moroto,ENG,County,20070431
3373833,56190300,UG,Otuke,ENG,County,20070431
3373834,56190301,UG,Bamunanika,ENG,County,20070453
3373835,56190302,UG,Katikamu,ENG,County,20070453
3373836,56190303,UG,Kabula,ENG,County,56190207
3373837,56190304,UG,Bukomansimbi,ENG,County,20070451
3373838,56190305,UG,Bukoto,ENG,County,20070451
3373839,56190306,UG,Kalungu,ENG,County,20070451
3373840,56190307,UG,Masaka,ENG,County,20070451
3373841,56190308,UG,Bujenje,ENG,County,20070432
3373842,56190309,UG,Kibanda,ENG,County,20070432
3373843,56190310,UG,Buwekula,ENG,County,20070437
3373844,56190311,UG,Kassanda,ENG,County,20070437
3373845,56190312,UG,Bungokho,ENG,County,20070433
3373846,56190313,UG,Mbale,ENG,County,20070433
3373847,56190314,UG,Bunya,ENG,County,24550732
3373848,56190315,UG,Maracha,ENG,County,56190208
3373849,56190316,UG,Terego,ENG,County,56190208
3373850,56190317,UG,Butambala,ENG,County,20070436
3373851,56190318,UG,Gomba,ENG,County,20070436
3373852,56190319,UG,Mawokota,ENG,County,20070436
3373853,56190320,UG,Buikwe,ENG,County,20070438
3373854,56190321,UG,Buvuma Islands,ENG,County,20070438
3373855,56190322,UG,Mukono,ENG,County,20070438
3373856,56190323,UG,Nakifuma,ENG,County,20070438
3373857,56190324,UG,Bokora,ENG,County,20070435
3373858,56190325,UG,Moroto,ENG,County,20070435
3373859,56190326,UG,Matheniko,ENG,County,20070435
3373860,56190327,UG,Bubulo,ENG,County,56190209
3373861,56190328,UG,Obongi,ENG,County,20070444
3373862,56190329,UG,West Moyo,ENG,County,20070444
3373863,56190330,UG,Buruli,ENG,County,20070452
3373864,56190331,UG,Jonam,ENG,County,20070439
3373865,56190332,UG,Okoro,ENG,County,20070439
3373866,56190333,UG,Padyere,ENG,County,20070439
3373867,56190334,UG,Bukanga,ENG,County,56190210
3373868,56190335,UG,Isingiro,ENG,County,56190210
3373869,56190336,UG,Nakaseke,ENG,County,56190211
3373870,56190337,UG,Chekwii,ENG,County,24550738
3373871,56190338,UG,Pian,ENG,County,24550738
3373872,56190339,UG,Pokot,ENG,County,24550738
3373873,56190340,UG,Kajara,ENG,County,20070440
3373874,56190341,UG,Ruhaama,ENG,County,20070440
3373875,56190342,UG,Rushenyi,ENG,County,20070440
3373876,56190343,UG,Koboko,ENG,County,56190212
3373877,56190344,UG,Oyam,ENG,County,56190213
3373878,56190345,UG,Agago,ENG,County,24550736
3373879,56190346,UG,Aruu,ENG,County,24550736
3373880,56190347,UG,Kibuku,ENG,County,20070441
3373881,56190348,UG,Pallisa,ENG,County,20070441
3373882,56190349,UG,Kakuuto,ENG,County,20070442
3373883,56190350,UG,Kooki,ENG,County,20070442
3373884,56190351,UG,Kyotera,ENG,County,20070442
3373885,56190352,UG,Rubabo,ENG,County,20070443
3373886,56190354,UG,Bulamogi,ENG,County,56190214
3373887,56190355,UG,Kashari,ENG,County,20070434
3373888,56190356,UG,Mbarara,ENG,County,20070434
3373889,56190357,UG,Rwampara,ENG,County,20070434
3373890,56190358,UG,Lwemiyaga,ENG,County,20070450
3373891,56190359,UG,Mawogola,ENG,County,20070450
3373892,56190360,UG,Budadiri,ENG,County,24550737
3373893,56190361,UG,Bulambuli,ENG,County,24550737
3373894,56190362,UG,Kasilo,ENG,County,20070447
3373895,56190363,UG,Serere,ENG,County,20070447
3373896,56190365,UG,Soroti,ENG,County,20070447
3373897,56190366,UG,Chua,ENG,County,20070428
3373898,56190367,UG,Lamwo,ENG,County,20070428
3373899,56190368,UG,Kisoko,ENG,County,20070455
3373900,56190370,UG,Tororo,ENG,County,20070455
3373901,56190371,UG,Busujju,ENG,County,56190215
3373902,56190372,UG,Mityana,ENG,County,56190215
3373903,56190373,UG,Kinkiizi,ENG,County,24550733
3373904,56190374,UG,Busiiro,ENG,County,24550740
3373905,56190375,UG,Entebbe,ENG,County,24550740
3373906,56190376,UG,Kyadondo,ENG,County,24550740
3373907,56190377,UG,Aringa,ENG,County,24550739
3373908,56190378,UG,Kisoro,ENG,County,56190379
3373909,1518764,UG,Aduku,ENG,Town,56190219
3373910,1518857,UG,Bombo,ENG,Town,56190302
3373911,1450668,UG,Bugaya,ENG,Town,56190292
3373912,1451393,UG,Fort Portal,ENG,Town,56190242
